index,prime,log_prime,sqrt_prime,prime_mod_4,prime_mod_6,is_twin_prime
447,3163,8.059276223305648,56.24055476255546,3,1,False
448,3167,8.06054004653864,56.27610505356603,3,5,True
449,3169,8.06117135969092,56.293871780150276,1,1,True
450,3181,8.064950891749143,56.4003546088143,1,1,False
451,3187,8.066835314417336,56.45352070508977,3,1,False
452,3191,8.068089626278244,56.4889369699944,3,5,False
453,3203,8.071843149609158,56.595052787324086,3,5,False
454,3209,8.073714641109857,56.64803615307419,1,5,False
455,3217,8.076204527239026,56.71860364994893,1,1,False
456,3221,8.0774471493312,56.753854494650845,1,5,False
457,3229,8.079927770758275,56.824290580701486,1,1,False
458,3251,8.086717920303906,57.01754116059373,3,5,True
459,3253,8.087332926473351,57.0350769263968,1,1,True
460,3257,8.088561805276234,57.0701322935211,1,5,True
461,3259,8.089175678837561,57.087651904768336,3,1,True
462,3271,8.092851027538384,57.19265687131522,3,1,False
463,3299,8.101374671228582,57.436921923097515,3,5,True
464,3301,8.101980731853192,57.4543296888929,1,1,True
465,3307,8.103796712981794,57.5065213693195,3,1,False
466,3313,8.105609402299896,57.55866572463264,1,1,False
467,3319,8.107418811719974,57.61076288333631,3,1,False
468,3323,8.108623268354595,57.645468165329355,3,5,False
469,3329,8.110427237575024,57.697486947006624,1,5,True
470,3331,8.11102783819368,57.7148161220323,3,1,True
471,3343,8.114623886420098,57.81868210189506,3,1,False
472,3347,8.115819701211327,57.85326265648291,3,5,False
473,3359,8.119398589612294,57.956880523368405,3,5,True
474,3361,8.119993827725105,57.97413216254298,1,1,True
475,3371,8.12296471523406,58.06031346797914,3,5,True
476,3373,8.12355783506165,58.077534382926416,1,1,True
477,3389,8.128290171607052,58.215118311311535,1,5,True
478,3391,8.128880142125638,58.23229344616267,3,1,True
479,3407,8.133587417660966,58.36951259004995,3,5,False
480,3413,8.135346948906706,58.42088667591412,1,5,False
481,3433,8.141189793457691,58.59180830116101,1,1,False
482,3449,8.145839612936841,58.728187440104094,1,5,False
483,3457,8.148156439921625,58.7962583843564,1,1,False
484,3461,8.149312843635345,58.83026432033091,1,5,True
485,3463,8.149890544402423,58.84725991921799,3,1,True
486,3467,8.151044945685024,58.881236400062114,3,5,True
487,3469,8.15162164696975,58.89821729050889,1,1,True
488,3491,8.157943507105037,59.08468498688979,3,5,False
489,3499,8.160232492367689,59.15234568468101,3,1,False
490,3511,8.163656176168432,59.253691868102194,3,1,False
491,3517,8.165363632473982,59.30430001273095,1,1,False
492,3527,8.168202930236053,59.388551085204966,3,5,True
493,3529,8.16876982367527,59.405386961116584,1,1,True
494,3533,8.169902647359145,59.43904440685432,1,5,False
495,3539,8.171599480345463,59.48949487094339,3,5,True
496,3541,8.172164452111904,59.50630218724736,1,1,True
497,3547,8.173857454773621,59.55669567731239,3,1,False
498,3557,8.176672771948455,59.64059020499378,1,5,True
499,3559,8.177234885510194,59.65735495309862,3,1,True
500,3571,8.18060094759445,59.75784467331465,3,1,False
